...Comp Geom...
94 Num Comps
179 Total Num Meshes
156608 Total Num Tris

Theo_Area   Wet_Area   Theo_Vol    Wet_Vol  Name
        1.211          1.067    Aft Fin 1_S_Surf0
        1.211          1.067    Aft Fin 1_S_Surf1
        1.211          1.104    Aft Fin 2_S_Surf0
        1.211          1.104    Aft Fin 2_S_Surf1
        1.211          1.024    Aft Fin 3_S_Surf0
        1.211          1.024    Aft Fin 3_S_Surf1
        1.211          0.989    Aft Fin 4_S_Surf0
        1.211          0.989    Aft Fin 4_S_Surf1
      323.829        220.536    Main_Wing_S_Surf0
      323.829        220.536    Main_Wing_S_Surf1
      157.876          0.000    Wing Fuel Tank_S_Surf0
      157.876          0.000    Wing Fuel Tank_S_Surf1
      128.031         97.325    HStab_S_Surf0  
      128.031         97.325    HStab_S_Surf1  
       74.346         68.316    VStab_S_Surf0  
       74.346         68.316    VStab_S_Surf1  
       62.769         62.769    Main_Wing_S_Surf0,Flaps
       16.750         16.750    Main_Wing_S_Surf0,Ailerons
       64.484         63.288    Main_Wing_S_Surf0,Slats
       62.769         62.769    Main_Wing_S_Surf1,Flaps
       16.750         16.750    Main_Wing_S_Surf1,Ailerons
       64.484         63.288    Main_Wing_S_Surf1,Slats
       25.030         25.030    VStab_S_Surf0,Rudder
       25.030         25.030    VStab_S_Surf1,Rudder

 SS_Theo_Area    SS_Wet_Area    SS_Name
      125.539        125.539    Main_Wing,Flaps
       33.500         33.500    Main_Wing,Ailerons
      128.968        126.576    Main_Wing,Slats
       50.060         50.060    VStab,Rudder   
