WARNING: 1 open meshes merged
     Merged: Main_Wing
...Mass Properties...
45 Num Comps
38 Total Num Meshes
70608 Total Num Tris

1.135891057322639e+03             Total Mass
2.659475224265967e+01 -1.594777251920169e-05 -4.384094526893802e-02       Center of Gravity
2.117280115161348e+04 8.631919491773444e+04 1.057309812222076e+05       Ixx, Iyy, Izz
-4.115939108620534e-01 2.468335188106527e+02 3.308481041248168e-01       Ixy, Ixz, Iyz
1.023495560824521e+03             Volume

Name	Mass	cgX	cgY	cgZ	Ixx	Iyy	Izz	Ixy	Ixz	Iyz	Volume
Front Struct (Stored)_pm	1.606700000000000e+01	1.125000000000000e+01	0.000000000000000e+00	-1.400000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	-0.000000000000000e+00	-0.000000000000000e+00	-0.000000000000000e+00	0.000000000000000e+00
Aft Structs (Stored)_pm	2.349900000000000e+01	3.500000000000000e+01	-2.750000000000000e+00	-2.500000000000000e-01	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	-0.000000000000000e+00	-0.000000000000000e+00	-0.000000000000000e+00	0.000000000000000e+00
Aft Structs (Stored)_pm	2.349900000000000e+01	3.500000000000000e+01	2.750000000000000e+00	-2.500000000000000e-01	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	-0.000000000000000e+00	-0.000000000000000e+00	-0.000000000000000e+00	0.000000000000000e+00
Name	Mass	cgX	cgY	cgZ	Ixx	Iyy	Izz	Ixy	Ixz	Iyz	Volume
Totals	1.135891057322639e+03	2.659475224265967e+01	-1.594777251920169e-05	-4.384094526893802e-02	2.117280115161348e+04	8.631919491773444e+04	1.057309812222076e+05	-4.115939108620534e-01	2.468335188106527e+02	3.308481041248168e-01	1.023495560824521e+03

...Filling Mass Properties (Volume Only -- No Shell or Point Mass)...
200 Num Slice

Slice	Mass	cgX	cgY	cgZ	Ixx	Iyy	Izz	Ixy	Ixz	Iyz	Volume
1.247325000000000e-01	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	3.881484871489659e+00
3.741975000000000e-01	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	7.762969742979318e+00
6.236625000000000e-01	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	1.164445461446897e+01
8.731274999999999e-01	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	1.552593948595862e+01
1.122592500000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	1.940742435744827e+01
1.372057500000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	2.328890922893791e+01
1.621522500000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	2.717039410042755e+01
1.870987500000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	3.105187897191719e+01
2.120452500000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	3.493336384340682e+01
2.369917500000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	3.881484871489645e+01
2.619382500000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	4.269633358638608e+01
2.868847500000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	4.657781845787571e+01
